query_id,job_id,rank,score
1,51317,1,18.237099
1,19535,2,16.153545
1,4207,3,16.153545
1,54583,4,15.661121
1,51344,5,14.493605
1,52639,6,14.456692
1,26497,7,14.305134
1,49934,8,14.240101
1,51312,9,14.240101
1,33415,10,14.151293
2,18256,1,20.554245
2,51319,2,17.86605
2,9285,3,17.37421
2,60080,4,16.264294
2,35648,5,15.974783
2,59303,6,15.974783
2,7239,7,15.28688
2,14340,8,15.28688
2,15132,9,15.28688
2,18096,10,15.28688
3,48663,1,19.300291
3,52550,2,18.455667
3,53658,3,18.185387
3,55685,4,17.542358
3,54366,5,16.416098
3,53006,6,15.6351795
3,52599,7,14.981965
3,37668,8,14.861856
3,33625,9,14.38866
3,24909,10,14.386448
4,58085,1,16.572393
4,57789,2,15.929329
4,19575,3,15.705708
4,43548,4,15.624881
4,37349,5,15.624881
4,22111,6,14.502974
4,32302,7,14.502974
4,57980,8,14.251184
4,58179,9,14.118961
4,36459,10,13.233559
5,55723,1,25.607689
5,49912,2,17.559448
5,47139,3,17.007336
5,58183,4,17.007336
5,58185,5,17.007336
5,35859,6,17.00204
5,16400,7,15.748668
5,36430,8,15.179647
5,43053,9,15.141733
5,47490,10,15.141733
6,47087,1,16.979383
6,54298,2,16.28602
6,52705,3,15.163115
6,56828,4,14.990821
6,56316,5,14.898768
6,55116,6,14.793563
6,54693,7,14.793563
6,54367,8,14.793563
6,57309,9,14.456106
6,53779,10,14.358064
7,37186,1,24.801207
7,44128,2,23.945421
7,48484,3,23.945421
7,48485,4,23.945421
7,37993,5,22.355644
7,45364,6,22.355644
7,58492,7,22.355644
7,45686,8,22.026274
7,48625,9,22.026274
7,47732,10,21.562378
8,57172,1,21.341843
8,53003,2,18.411455
8,38774,3,18.379133
8,47025,4,18.379133
8,35360,5,18.333227
8,39000,6,18.28755
8,52815,7,18.28755
8,32093,8,18.2421
8,50004,9,17.940815
8,5871,10,17.619171
9,10746,1,38.075157
9,63035,2,28.498152
9,40821,3,27.90377
9,32621,4,24.778015
9,32571,5,24.778015
9,32572,6,24.778015
9,39450,7,24.778015
9,14710,8,22.31255
9,50437,9,22.282005
9,50438,10,22.282005
10,48332,1,18.883
10,7201,2,17.674732
10,10413,3,16.474478
10,10580,4,16.474478
10,10594,5,16.474478
10,10612,6,16.474478
10,10293,7,16.474478
10,10306,8,16.474478
10,10317,9,16.474478
10,10327,10,16.474478
11,5792,1,47.458454
11,34784,2,37.89701
11,9912,3,24.560776
11,17973,4,24.560776
11,3065,5,24.560776
11,3185,6,24.560776
11,27866,7,22.225115
11,29611,8,21.98268
11,50697,9,21.808573
11,24028,10,21.349522
12,21279,1,22.068481
12,54629,2,21.524311
12,55467,3,19.708689
12,50027,4,19.57995
12,36094,5,18.96481
12,53120,6,18.8482
12,57646,7,18.64393
12,58251,8,18.574615
12,56571,9,18.054638
12,57247,10,18.054638
13,3712,1,26.713726
13,58068,2,21.910923
13,51625,3,21.382378
13,18457,4,19.829716
13,8630,5,18.614021
13,11880,6,18.614021
13,17900,7,18.614021
13,7372,8,18.614021
13,954,9,17.81041
13,15951,10,17.750137
14,53591,1,25.607689
14,52658,2,25.607689
14,56013,3,25.607689
14,55321,4,25.607689
14,54494,5,25.607689
14,55679,6,25.607689
14,51678,7,16.568449
14,52787,8,16.505802
14,54791,9,15.738587
14,9666,10,15.651764
15,15161,1,17.95629
15,16321,2,17.00204
15,29486,3,16.977001
15,34784,4,15.289343
15,52453,5,15.022831
15,43279,6,14.669716
15,24511,7,14.639561
15,51344,8,14.493605
15,30697,9,13.718344
15,56813,10,13.391692
16,21154,1,30.300043
16,44102,2,30.300043
16,472,3,24.859848
16,15376,4,23.494326
16,128,5,21.962198
16,16466,6,20.907852
16,25644,7,19.48239
16,54812,8,19.080875
16,55453,9,19.012962
16,25643,10,18.446182
17,60709,1,20.208477
17,65923,2,20.208477
17,10403,3,17.07414
17,10741,4,17.07414
17,9821,5,17.07414
17,9954,6,17.07414
17,10179,7,17.07414
17,10174,8,17.07414
17,11468,9,17.07414
17,7689,10,17.07414
18,19575,1,15.705708
18,23927,2,15.098112
18,52109,3,14.974581
18,24617,4,14.547024
18,6652,5,13.713045
18,41641,6,13.539482
18,54911,7,13.469814
18,10746,8,13.297142
18,34909,9,13.297142
18,42024,10,13.297142
19,55723,1,25.607689
19,56173,2,23.90784
19,55803,3,23.4982
19,10585,4,22.429161
19,10299,5,22.429161
19,10351,6,22.429161
19,10663,7,22.429161
19,9770,8,22.429161
19,9650,9,22.429161
19,8493,10,22.429161
20,50878,1,24.059025
20,29574,2,21.65021
20,421,3,20.355932
20,7235,4,19.96041
20,41430,5,17.378696
20,36108,6,17.291664
20,39825,7,17.291664
20,39826,8,17.291664
20,37593,9,17.291664
20,40357,10,17.291664
21,55685,1,19.871286
21,55831,2,19.722965
21,55086,3,19.719069
21,56800,4,18.314562
21,7956,5,16.236485
21,10575,6,16.236485
21,10769,7,16.236485
21,9805,8,16.236485
21,9687,9,16.236485
21,9077,10,16.236485
22,61991,1,17.84548
22,60553,2,17.84548
22,60140,3,17.180073
22,65101,4,16.254776
22,60148,5,16.08582
22,64310,6,16.04049
22,64920,7,16.007772
22,60459,8,15.831354
22,8387,9,15.770538
22,59222,10,15.761253
23,17434,1,24.11972
23,56853,2,23.7984
23,40179,3,23.58161
23,51500,4,21.794231
23,55199,5,21.089771
23,52300,6,20.893244
23,57422,7,20.41732
23,3084,8,20.411753
23,39231,9,20.308186
23,58178,10,19.904984
24,28802,1,24.096294
24,24167,2,23.659193
24,85,3,23.147247
24,20930,4,22.023039
24,20579,5,22.023039
24,20624,6,21.749138
24,15576,7,21.198162
24,23787,8,20.53321
24,19125,9,20.403511
24,25897,10,20.12246
25,53778,1,13.890125
25,53122,2,13.60967
25,54368,3,13.500755
25,52664,4,13.435303
25,53179,5,13.340374
25,34715,6,13.163583
25,36314,7,13.163583
25,56402,8,12.708081
25,53580,9,12.6271715
25,57388,10,12.587715
26,45742,1,21.609606
26,39067,2,20.70423
26,7963,3,20.016884
26,7968,4,20.016884
26,10592,5,20.016884
26,10617,6,20.016884
26,10789,7,20.016884
26,10700,8,20.016884
26,9926,9,20.016884
26,9947,10,20.016884
27,40821,1,27.90377
27,10746,2,24.778015
27,32621,3,24.778015
27,32571,4,24.778015
27,32572,5,24.778015
27,39450,6,24.778015
27,49436,7,23.791714
27,49439,8,23.791714
27,51439,9,23.072075
27,50437,10,22.282005
28,53778,1,27.8355
28,43279,2,24.689487
28,32807,3,20.869669
28,57683,4,20.263638
28,55999,5,19.73445
28,56444,6,19.73445
28,52731,7,19.203022
28,54901,8,19.203022
28,23422,9,18.94625
28,27465,10,18.94625
29,35890,1,28.270226
29,33735,2,26.480331
29,55294,3,23.747149
29,54591,4,23.747149
29,47732,5,21.562378
29,48626,6,20.47533
29,35158,7,20.34534
29,53439,8,19.950527
29,45686,9,19.258348
29,47734,10,19.258348
30,17043,1,22.151182
30,8327,2,19.708992
30,15312,3,19.193802
30,34728,4,17.818562
30,34729,5,17.818562
30,16041,6,17.119598
30,15306,7,16.609386
30,15363,8,15.398533
30,3044,9,15.398533
30,21056,10,15.246247
31,11652,1,31.820648
31,509,2,29.535843
31,21484,3,29.448227
31,21718,4,27.55716
31,18318,5,27.55716
31,5757,6,27.55716
31,5137,7,27.55716
31,42024,8,26.62888
31,9343,9,20.99038
31,9939,10,19.930944
