threshold,accuracy,precision,recall,f1
0.7,0.7,0.8541666666666666,0.640625,0.7321428571428571
0.75,0.7,0.8541666666666666,0.640625,0.7321428571428571
0.8,0.7,0.8541666666666666,0.640625,0.7321428571428571
0.85,0.69,0.851063829787234,0.625,0.7207207207207207
0.9,0.69,0.851063829787234,0.625,0.7207207207207207
0.95,0.51,1.0,0.234375,0.379746835443038
