system,ndcg@10,recall@10,precision@10,mrr,map,avg_latency_ms,p95_latency_ms,p99_latency_ms,queries_evaluated
bm25,0.5938848592313274,0.34533010697467054,0.6890000000000001,0.8510952380952381,0.2821427062005804,27.414794667129172,87.58320000197273,140.1700999995228,100
dense,0.5945197239193593,0.3874819907299161,0.73,0.8062619047619047,0.31361641779317334,82.88667599961627,114.54450000019278,129.37280000187457,100
hybrid,0.6253068462090141,0.3678074054315298,0.712,0.8868452380952381,0.30167084231034147,89.70369433363278,122.7123999997275,163.11280000081751,100
hybrid_rerank,0.7405011330291288,0.4278326955764584,0.8,0.9600952380952381,0.38480309184001427,2213.3918306666114,2511.9252000004053,2760.443100007251,100
